"id";"fan_page_id";"day";"fans";"fans_change";"talkingabout";"engaged_fans";"engaged_newly_fans";"ini";"ini_fan";"likes";"comments";"posts";"multimedia";"likes_fan";"comments_fan";"posts_fan";"multimedia_fan";"votes";"shares";"response_count";"response_median";"response_mean";"response_max";"response_min";"engaged_fans_likes";"engaged_fans_comments";"engaged_fans_posts";"engaged_fans_multimedia";"engaged_fans_votes";"engaged_fans_shares";"is_historic";"created_at";"updated_at"
"11";248088161;3;"2015-01-11";291920;-1;535;33;14;162;117;22;21;7;0;21;12;6;0;0;0;5;43407;40612;61120;21345;21;8;6;0;0;0;"no";"2015-06-09 20:27:18";"2015-06-09 21:23:39"
"12";248088163;3;"2015-01-12";291939;19;744;37;15;206;150;30;20;8;0;30;8;7;0;0;2;7;2308;7682;41285;145;28;8;7;0;0;0;"no";"2015-06-09 20:27:18";"2015-06-09 21:23:41"
"13";248088165;3;"2015-01-13";291990;51;744;33;16;267;194;15;27;18;0;14;11;17;0;0;0;15;806;6472;36877;83;13;10;17;0;0;0;"no";"2015-06-09 20:27:18";"2015-06-09 21:23:40"
"14";248088167;3;"2015-01-14";292039;49;750;47;19;417;330;33;34;25;0;30;15;24;0;0;3;19;4068;9660;36573;173;21;10;23;0;0;0;"no";"2015-06-09 20:27:18";"2015-06-09 21:23:43"
"15";248088169;3;"2015-01-15";292100;61;767;39;16;257;188;25;33;11;1;24;18;10;1;0;0;8;3708;5886;16662;633;23;13;11;0;0;0;"no";"2015-06-09 20:27:18";"2015-06-09 21:25:36"
"16";248088171;3;"2015-01-16";292173;73;767;40;22;315;226;27;35;17;1;26;16;17;0;0;0;15;2123;9788;58888;126;23;9;15;0;0;0;"no";"2015-06-09 20:27:18";"2015-06-09 21:25:31"
"17";248088173;3;"2015-01-17";292195;22;769;17;11;96;74;12;8;5;1;10;3;5;1;0;0;3;8331;8696;10788;6970;10;2;6;0;0;0;"no";"2015-06-09 20:27:18";"2015-06-09 21:23:43"
"18";248088175;3;"2015-01-18";292183;-12;764;15;8;160;132;0;18;11;0;0;11;11;0;0;0;8;22517;23627;39121;14591;0;7;11;0;0;0;"no";"2015-06-09 20:27:18";"2015-06-09 21:23:43"
"19";248088177;3;"2015-01-19";292203;20;764;76;18;386;302;46;43;18;2;46;27;17;1;0;0;16;2598;12136;54321;66;44;23;16;0;0;0;"no";"2015-06-09 20:27:18";"2015-06-09 21:23:44"
"20";248088179;3;"2015-01-20";292236;33;764;24;10;221;155;9;25;12;0;7;9;12;0;0;1;8;6427;13670;50179;207;7;8;12;0;0;0;"no";"2015-06-09 20:27:18";"2015-06-09 21:25:35"
"21";248088181;3;"2015-01-21";292290;54;746;23;11;187;149;11;22;11;0;9;13;11;0;0;0;6;1282;8504;42614;771;9;9;10;0;0;0;"no";"2015-06-09 20:27:18";"2015-06-09 21:23:39"
"22";248088183;3;"2015-01-22";292334;44;746;26;14;127;91;19;13;7;0;19;6;6;0;0;0;6;10511;15528;47367;650;18;5;6;0;0;0;"no";"2015-06-09 20:27:18";"2015-06-09 21:23:40"
"23";248088185;3;"2015-01-23";292372;38;746;29;8;101;73;25;6;5;1;25;2;5;0;0;0;5;23201;23943;58370;460;23;2;5;0;0;0;"no";"2015-06-09 20:27:18";"2015-06-09 21:23:40"
"24";248088187;3;"2015-01-24";292388;16;728;15;9;109;77;5;16;5;0;5;8;5;0;0;0;5;9167;23029;91921;538;5;7;5;0;0;0;"no";"2015-06-09 20:27:18";"2015-06-09 21:23:42"
"25";248088189;3;"2015-01-25";292388;0;667;30;13;123;91;23;13;6;0;23;7;5;0;0;0;5;9308;11491;26615;1725;23;6;5;0;0;0;"no";"2015-06-09 20:27:18";"2015-06-09 21:33:38"
"26";248088191;3;"2015-01-26";292389;1;604;44;12;173;132;37;19;6;1;36;12;6;0;0;0;5;5374;14208;48543;654;31;11;6;0;0;0;"no";"2015-06-09 20:27:18";"2015-06-09 21:23:43"
"27";248088193;3;"2015-01-27";292437;48;604;30;6;132;94;28;10;8;0;26;3;7;0;0;0;6;1026;8206;43984;435;23;3;7;0;0;0;"no";"2015-06-09 20:27:21";"2015-06-09 21:23:40"
"28";248088195;3;"2015-01-28";292491;54;604;41;9;180;128;32;14;10;1;32;4;10;0;0;0;10;3351;12021;53155;1125;30;2;10;0;0;0;"no";"2015-06-09 20:27:21";"2015-06-09 21:23:44"
"29";248088197;3;"2015-01-29";292534;43;602;30;9;306;220;14;32;19;1;12;11;19;1;0;0;18;2408;6880;40236;172;10;9;18;0;0;0;"no";"2015-06-09 20:27:21";"2015-06-09 21:23:41"
"30";248088199;3;"2015-01-30";292572;38;602;47;17;307;227;31;36;13;1;31;21;12;0;0;1;9;4245;16749;63435;203;28;15;12;0;0;0;"no";"2015-06-09 20:27:21";"2015-06-09 21:23:39"
"31";248088201;3;"2015-01-31";292581;9;602;19;14;146;113;10;10;10;0;9;2;10;0;0;1;9;2522;33003;156824;127;9;2;10;0;0;0;"no";"2015-06-09 20:27:21";"2015-06-09 21:23:42"
"32";248088203;3;"2015-02-01";292590;9;611;6;2;59;42;3;8;3;0;2;4;3;0;0;0;2;24008;24008;43742;4275;1;3;3;0;0;0;"no";"2015-06-09 20:27:21";"2015-06-09 21:23:42"
"33";248088205;3;"2015-02-02";292610;20;611;72;23;238;178;54;23;10;1;54;11;10;0;0;0;8;1989;2115;4195;200;54;11;10;0;0;0;"no";"2015-06-09 20:27:21";"2015-06-09 21:23:43"
"34";248088207;3;"2015-02-03";292676;66;611;103;36;395;317;83;40;17;0;81;23;16;0;0;1;14;3244;7201;50678;64;79;18;16;0;0;0;"no";"2015-06-09 20:27:21";"2015-06-09 21:25:36"
"35";248088209;3;"2015-02-04";292753;77;611;34;13;293;193;21;36;13;2;21;16;12;1;0;0;13;2126;5528;34946;503;15;13;13;0;0;0;"no";"2015-06-09 20:27:21";"2015-06-09 21:23:43"
"36";248088211;3;"2015-02-05";292834;81;579;48;15;329;228;29;41;14;2;28;19;14;1;0;0;14;2213;2034;4036;398;26;13;15;0;0;0;"no";"2015-06-09 20:27:21";"2015-06-09 21:29:09"
"37";248088213;3;"2015-02-06";292886;52;573;34;10;153;121;25;12;5;2;25;7;5;1;0;1;4;8387;21364;68298;383;25;6;6;0;0;0;"no";"2015-06-09 20:27:21";"2015-06-09 21:29:06"
"38";248088215;3;"2015-02-07";292921;35;743;31;22;277;234;17;39;8;2;14;29;8;2;0;1;8;20195;19001;38216;731;13;15;10;0;0;0;"no";"2015-06-09 20:27:21";"2015-06-09 21:23:40"
"39";248088217;3;"2015-02-08";292916;-5;812;6;5;82;61;2;9;4;1;1;4;4;1;0;0;5;4794;15092;49113;67;1;2;5;0;0;0;"no";"2015-06-09 20:27:21";"2015-06-09 21:23:44"
"40";248088219;3;"2015-02-09";292943;27;832;26;13;196;148;12;26;10;0;12;16;9;0;0;0;9;4042;10001;39034;326;12;10;9;0;0;0;"no";"2015-06-09 20:27:21";"2015-06-09 21:23:40"
"41";248088221;3;"2015-02-10";293011;68;832;18;4;170;106;14;14;9;1;14;5;7;0;0;1;5;2985;22682;59313;1873;10;4;6;0;0;0;"no";"2015-06-09 20:27:21";"2015-06-09 21:29:07"
"42";248088223;3;"2015-02-11";293116;105;835;39;20;300;219;16;29;21;0;15;11;20;0;0;0;17;4163;14117;50137;477;15;11;19;0;0;0;"no";"2015-06-09 20:27:21";"2015-06-09 21:25:26"
"43";248088225;3;"2015-02-12";293189;73;721;137;44;465;372;133;36;20;1;132;18;19;0;0;1;15;2879;6947;32346;431;113;16;17;0;0;0;"no";"2015-06-09 20:27:21";"2015-06-09 21:25:31"
"44";248088227;3;"2015-02-13";293285;96;721;22;5;155;98;15;14;9;1;14;5;8;0;0;0;8;1761;10789;76417;114;11;5;8;0;0;0;"no";"2015-06-09 20:27:21";"2015-06-09 21:25:41"
"45";248088229;3;"2015-02-14";293325;40;751;52;14;176;143;40;19;6;1;39;14;6;0;0;0;5;30859;32084;67715;3433;38;14;6;0;0;0;"no";"2015-06-09 20:27:21";"2015-06-09 21:25:36"
"46";248088231;3;"2015-02-15";293323;-2;796;12;4;61;45;9;5;4;0;9;1;4;0;0;0;4;42021;43591;59678;30643;7;1;4;0;0;0;"no";"2015-06-09 20:27:21";"2015-06-09 21:25:32"
"47";248088233;3;"2015-02-16";293350;27;817;71;27;364;299;52;50;14;0;51;36;13;0;0;0;10;1565;8719;38502;122;51;19;13;0;0;0;"no";"2015-06-09 20:27:21";"2015-06-09 21:29:11"
"48";248088235;3;"2015-02-17";293417;67;835;184;77;556;459;164;63;14;1;163;44;13;0;0;1;13;1906;11480;74447;239;148;39;13;0;0;0;"no";"2015-06-09 20:27:21";"2015-06-09 21:29:08"
"49";248088237;3;"2015-02-18";293532;115;883;112;55;462;350;90;48;18;3;90;29;18;0;0;0;16;1014;7266;36662;187;84;22;17;0;0;0;"no";"2015-06-09 20:27:21";"2015-06-09 21:31:02"
"50";248088239;3;"2015-02-19";293620;88;883;30;11;396;270;4;62;18;0;2;31;18;0;0;0;17;677;5075;43028;91;2;17;18;0;0;0;"no";"2015-06-09 20:27:21";"2015-06-09 21:29:11"
"51";248088241;3;"2015-02-20";293714;94;1088;39;22;336;228;20;41;14;2;20;19;13;1;0;1;14;9404;8455;17625;194;19;16;13;0;0;0;"no";"2015-06-09 20:27:21";"2015-06-09 21:29:05"
"52";248088243;3;"2015-02-21";293759;45;1050;70;31;493;411;45;68;22;0;43;48;22;0;0;0;15;12432;11962;32593;218;41;24;20;0;0;0;"no";"2015-06-09 20:27:21";"2015-06-09 21:29:11"
"53";248088245;3;"2015-02-22";293752;-7;1050;19;8;142;105;22;18;6;0;21;11;5;0;0;0;4;5163;6274;14133;637;9;9;5;0;0;0;"no";"2015-06-09 20:27:21";"2015-06-09 21:29:08"
"54";248088247;3;"2015-02-23";293787;35;1073;16;5;82;66;6;11;4;0;6;7;4;0;0;0;3;1434;2095;3748;1104;6;6;4;0;0;0;"no";"2015-06-09 20:27:21";"2015-06-09 21:27:15"
"55";248088249;3;"2015-02-24";293836;49;1071;6904;2920;9663;9612;8887;55;10;1;8884;45;9;1;0;29;6;710;9010;47021;402;6869;41;10;0;0;0;"no";"2015-06-09 20:27:21";"2015-06-09 21:29:06"
"56";248088251;3;"2015-02-25";293897;61;1037;219;131;866;812;186;54;8;0;184;41;8;0;0;25;6;4360;19567;97151;1739;182;36;7;0;0;0;"no";"2015-06-09 20:27:21";"2015-06-09 21:29:12"
"57";248088253;3;"2015-02-26";294037;140;1037;220;166;921;809;189;66;15;1;189;41;15;0;0;21;15;1420;4601;42532;214;188;33;15;0;0;0;"no";"2015-06-09 20:27:21";"2015-06-09 21:29:09"
"58";248088255;3;"2015-02-27";294098;61;1162;36;10;247;165;31;21;9;1;29;6;8;0;0;3;8;1547;2964;9893;347;24;5;8;0;0;0;"no";"2015-06-09 20:27:21";"2015-06-09 21:29:06"
"59";248088257;3;"2015-02-28";294106;8;1660;28;9;173;131;25;12;11;1;23;4;10;1;0;0;9;10187;23125;83066;906;18;3;11;0;0;0;"no";"2015-06-09 20:27:21";"2015-06-09 21:29:09"
"60";248088259;3;"2015-03-01";294092;-14;1660;10;2;110;77;2;15;4;0;1;7;4;0;0;1;3;34826;32268;36059;25921;1;6;4;0;0;0;"no";"2015-06-09 20:27:22";"2015-06-09 21:29:05"
"61";248088261;3;"2015-03-02";294114;22;1593;12;6;115;79;3;14;7;0;3;5;7;0;0;0;7;1557;1536;4253;173;3;4;7;0;0;0;"no";"2015-06-09 20:27:22";"2015-06-09 21:29:07"
"62";248088263;3;"2015-03-03";294191;77;1600;15;6;69;52;9;5;5;0;8;3;4;0;0;0;4;52472;44804;65505;8769;8;3;4;0;0;0;"no";"2015-06-09 20:27:22";"2015-06-09 21:29:10"
"63";248088265;3;"2015-03-04";294273;82;1584;20;8;217;157;5;32;9;1;5;20;9;0;0;0;8;41833;30558;54563;1027;3;11;9;0;0;0;"no";"2015-06-09 20:27:22";"2015-06-09 21:29:04"
"64";248088267;3;"2015-03-05";294341;68;1302;57;22;359;258;39;49;12;1;38;27;12;0;0;1;11;5934;11787;50060;213;37;17;12;0;0;0;"no";"2015-06-09 20:27:22";"2015-06-09 21:29:07"
"65";248088269;3;"2015-03-06";294362;21;1302;37;20;353;257;13;50;16;1;13;29;16;0;0;0;13;3460;32842;245895;156;13;17;15;0;0;0;"no";"2015-06-09 20:27:22";"2015-06-09 21:29:10"
"66";248088271;3;"2015-03-07";294416;54;711;22;12;190;137;6;29;7;1;5;16;7;1;0;0;6;4917;27834;85276;2563;5;13;8;0;0;0;"no";"2015-06-09 20:27:22";"2015-06-09 21:29:04"
"67";248088273;3;"2015-03-08";294415;-1;735;107;43;283;231;91;33;6;1;91;23;6;0;0;0;5;5430;12621;43317;756;91;18;6;0;0;0;"no";"2015-06-09 20:27:22";"2015-06-09 21:29:06"
"68";248088275;3;"2015-03-09";294421;6;735;35;14;353;253;13;56;13;1;13;31;13;1;0;0;14;1513;9991;50368;285;12;14;14;0;0;0;"no";"2015-06-09 20:27:22";"2015-06-09 21:29:08"
"69";248088277;3;"2015-03-10";294481;60;735;132;48;572;447;92;76;15;2;91;48;15;1;0;2;16;5787;10815;39949;1254;89;38;16;0;0;0;"no";"2015-06-09 20:27:22";"2015-06-09 21:29:11"
"70";248088279;3;"2015-03-11";294556;75;776;88;28;396;308;64;47;16;0;60;28;15;0;0;1;11;855;17558;52047;270;57;23;15;0;0;0;"no";"2015-06-09 20:27:22";"2015-06-09 21:31:02"
"71";248088281;3;"2015-03-12";294639;83;789;41;20;342;249;30;44;11;4;29;27;11;2;0;0;7;414;1315;6377;248;26;12;12;0;0;0;"no";"2015-06-09 20:27:22";"2015-06-09 21:31:06"
"72";248088283;3;"2015-03-13";294705;66;918;48;20;373;284;33;41;19;2;28;23;19;1;0;0;16;814;3281;36524;114;24;10;20;0;0;0;"no";"2015-06-09 20:27:22";"2015-06-09 21:31:09"
"73";248088285;3;"2015-03-14";294724;19;918;16;11;97;77;9;10;6;0;9;5;6;0;0;0;6;18131;29015;64811;3018;9;5;6;0;0;0;"no";"2015-06-09 20:27:22";"2015-06-09 21:31:02"
"74";248088287;3;"2015-03-15";294734;10;984;9;1;81;49;5;11;4;0;5;5;3;0;0;0;3;2303;2401;2627;2274;3;4;3;0;0;0;"no";"2015-06-09 20:27:22";"2015-06-09 21:31:05"
"75";248088289;3;"2015-03-16";294766;32;1010;28;14;196;139;20;21;10;1;19;9;9;1;0;0;8;521;2137;8047;72;19;7;9;0;0;0;"no";"2015-06-09 20:27:22";"2015-06-09 21:31:11"
"76";248088291;3;"2015-03-17";294824;58;1030;41;20;282;198;22;34;14;1;22;18;13;0;0;0;12;555;7245;47676;90;20;15;13;0;0;0;"no";"2015-06-09 20:27:22";"2015-06-09 21:31:04"
"77";248088293;3;"2015-03-18";294912;88;967;43;13;322;242;26;42;16;0;26;24;15;0;0;0;14;3828;12735;51156;204;23;14;15;0;0;0;"no";"2015-06-09 20:27:22";"2015-06-09 21:31:07"
"78";248088295;3;"2015-03-19";289341;-5571;977;47;16;326;232;30;45;13;1;28;24;12;1;0;0;11;1478;3033;9532;174;28;15;12;0;0;0;"no";"2015-06-09 20:27:22";"2015-06-09 21:31:11"
"79";248088297;3;"2015-03-20";289419;78;977;140;64;1289;1168;125;61;22;2;124;37;22;0;0;45;18;952;10021;45267;88;109;27;22;0;0;0;"no";"2015-06-09 20:27:22";"2015-06-09 21:31:03"
"80";248088299;3;"2015-03-21";289435;16;834;37;22;369;309;21;30;7;1;21;15;7;1;0;10;8;7691;9307;25444;3956;21;11;8;0;0;0;"no";"2015-06-09 20:27:22";"2015-06-09 21:31:07"
"81";248088301;3;"2015-03-22";289448;13;834;33;16;252;194;16;32;8;1;14;21;8;0;0;2;5;597;12810;62114;68;13;15;8;0;0;0;"no";"2015-06-09 20:27:22";"2015-06-09 21:31:10"
"82";248088303;3;"2015-03-23";289468;20;943;257;104;735;603;219;81;18;0;219;50;17;0;0;3;13;2383;15428;66707;493;217;41;14;0;0;0;"no";"2015-06-09 20:27:22";"2015-06-09 21:39:35"
"83";248088305;3;"2015-03-24";289518;50;982;36;21;255;171;19;34;11;1;19;13;11;1;0;0;12;1375;13270;53806;278;19;9;12;0;0;0;"no";"2015-06-09 20:27:22";"2015-06-09 21:31:04"
"84";248088307;3;"2015-03-25";289593;75;1019;92;37;502;377;54;73;16;1;53;45;16;0;0;1;16;6339;17922;42221;132;51;36;15;0;0;0;"no";"2015-06-09 20:27:22";"2015-06-09 21:31:08"
"85";248088309;3;"2015-03-26";289649;56;1220;50;35;393;277;17;54;18;0;17;25;18;0;0;1;16;667;9094;57785;160;17;18;18;0;0;0;"no";"2015-06-09 20:27:22";"2015-06-09 21:31:01"
"86";248088311;3;"2015-03-27";289702;53;1206;74;24;405;301;57;47;13;2;57;28;11;1;0;2;11;395;9121;47508;78;51;17;12;0;0;0;"no";"2015-06-09 20:27:22";"2015-06-09 21:31:04"
"87";248088313;3;"2015-03-28";289751;49;1238;29;6;229;157;17;31;9;0;17;15;8;0;0;1;8;3157;10974;62111;179;16;9;8;0;0;0;"no";"2015-06-09 20:27:22";"2015-06-09 21:31:08"
"88";248088315;3;"2015-03-29";289759;8;1238;9;5;148;96;0;22;6;1;0;9;6;1;0;0;7;5184;11034;43987;1208;0;3;7;0;0;0;"no";"2015-06-09 20:27:22";"2015-06-09 21:31:11"
"89";248088317;3;"2015-03-30";289792;33;1238;34;10;384;268;12;40;17;1;12;14;17;0;0;4;17;757;5996;42306;89;12;10;17;0;0;0;"no";"2015-06-09 20:27:22";"2015-06-09 21:31:04"
"90";248088319;3;"2015-03-31";289883;91;1216;29;10;256;171;12;29;16;0;11;8;16;0;0;0;14;1362;4023;32566;90;11;7;15;0;0;0;"no";"2015-06-09 20:27:22";"2015-06-09 21:31:07"
"91";248088321;3;"2015-04-01";289992;109;1112;87;30;583;435;55;81;22;1;55;47;22;0;0;1;22;2136;10224;39018;52;54;29;21;0;0;0;"no";"2015-06-09 20:27:22";"2015-06-09 21:31:12"
"92";248088323;3;"2015-04-02";290074;82;1087;140;55;606;462;106;73;20;0;106;39;19;0;0;3;19;2286;9178;39865;104;102;33;19;0;0;0;"no";"2015-06-09 20:27:22";"2015-06-09 21:31:11"
"93";248088325;3;"2015-04-03";290122;48;937;77;38;603;395;39;92;20;3;39;40;20;3;0;0;23;1146;6059;41850;69;38;28;23;0;0;0;"no";"2015-06-09 20:27:22";"2015-06-09 21:31:07"
"94";248088327;3;"2015-04-04";290158;36;937;110;34;548;427;84;62;10;2;83;38;10;0;0;7;10;6690;21002;72898;1167;77;31;10;0;0;0;"no";"2015-06-09 20:27:22";"2015-06-09 21:31:07"
"95";248088329;3;"2015-04-05";290160;2;1057;32;19;263;218;23;31;1;1;22;20;1;1;0;6;1;6528;6528;6528;6528;21;16;2;0;0;0;"no";"2015-06-09 20:27:22";"2015-06-09 21:31:04"
"96";248088331;3;"2015-04-06";290153;-7;1089;9;4;144;92;4;19;2;0;4;6;2;0;0;3;2;57369;57369;57954;56785;2;6;2;0;0;0;"no";"2015-06-09 20:27:22";"2015-06-09 21:31:03"
"97";248088333;3;"2015-04-07";290200;47;1089;33;11;289;177;17;42;11;0;17;16;10;0;0;1;10;403;512;1056;163;17;12;9;0;0;0;"no";"2015-06-09 20:27:22";"2015-06-09 21:31:11"
"98";248088335;3;"2015-04-08";290286;86;1085;27;14;333;238;13;43;15;1;10;20;15;1;0;1;16;1122;1908;10340;207;10;12;15;0;0;0;"no";"2015-06-09 20:27:22";"2015-06-09 21:31:11"
"99";248088337;3;"2015-04-09";290377;91;1011;26;14;332;230;12;42;17;0;10;17;17;0;0;1;15;2254;6574;42765;133;5;11;17;0;0;0;"no";"2015-06-09 20:27:22";"2015-06-09 21:31:06"
"100";248088339;3;"2015-04-10";290460;83;1011;38;14;252;160;28;25;14;1;28;7;13;0;0;0;13;1216;9192;54454;140;22;6;13;0;0;0;"no";"2015-06-09 20:27:22";"2015-06-09 21:31:07"
"101";248088341;3;"2015-04-11";290498;38;891;30;10;180;146;20;18;9;0;18;10;9;0;0;1;9;29607;30358;44492;1346;18;9;9;0;0;0;"no";"2015-06-09 20:27:22";"2015-06-09 21:31:03"
"102";248088343;3;"2015-04-12";290515;17;796;21;10;92;63;16;11;2;0;15;4;2;0;0;1;2;9729;9729;15137;4322;15;4;2;0;0;0;"no";"2015-06-09 20:27:22";"2015-06-09 21:31:03"
"103";248088345;3;"2015-04-13";290576;61;786;54;28;333;253;37;35;14;1;37;17;13;1;0;2;13;2594;6807;44647;107;36;14;14;0;0;0;"no";"2015-06-09 20:27:22";"2015-06-09 21:39:37"
"104";248088347;3;"2015-04-14";290662;86;713;47;26;399;299;19;46;21;1;19;26;20;0;0;1;20;4436;15564;53086;361;17;21;20;0;0;0;"no";"2015-06-09 20:27:22";"2015-06-09 21:31:10"
"105";248088349;3;"2015-04-15";290752;90;713;30;15;312;194;12;47;11;2;10;18;11;2;0;0;12;2731;4178;9807;360;10;13;13;0;0;0;"no";"2015-06-09 20:27:22";"2015-06-09 21:31:06"
"106";248088351;3;"2015-04-16";290833;81;840;206;69;780;636;140;115;21;1;140;82;21;0;0;0;20;3248;13574;44915;53;139;54;21;0;0;0;"no";"2015-06-09 20:27:22";"2015-06-09 21:31:01"
"107";248088353;3;"2015-04-17";290878;45;840;65;30;503;331;39;75;19;1;39;37;18;0;0;0;16;2391;7968;49519;601;34;26;18;0;0;0;"no";"2015-06-09 20:27:22";"2015-06-09 21:31:09"
"108";248088355;3;"2015-04-18";290911;33;1088;50;35;497;359;17;76;20;0;15;42;20;0;0;1;17;7191;9099;27675;726;14;30;20;0;0;0;"no";"2015-06-09 20:27:22";"2015-06-09 21:31:08"
"109";248088357;3;"2015-04-19";290923;12;1213;27;10;282;217;6;37;16;0;5;21;16;0;0;0;14;16682;16526;37529;115;4;16;16;0;0;0;"no";"2015-06-09 20:27:22";"2015-06-09 21:31:05"
"110";248088359;3;"2015-04-20";290980;57;1213;177;85;1420;1084;48;250;41;1;48;169;41;0;0;2;39;2796;7614;40996;65;47;136;35;0;0;0;"no";"2015-06-09 20:27:22";"2015-06-09 21:31:05"
"111";248088361;3;"2015-04-21";291030;50;1207;94;38;752;547;28;109;27;2;27;63;26;1;0;3;24;3698;12426;40819;88;26;52;27;0;0;0;"no";"2015-06-09 20:27:22";"2015-06-09 21:31:01"
"112";248088363;3;"2015-04-22";291105;75;1228;183;76;1137;885;113;161;36;1;113;105;34;0;0;5;30;4597;8093;40316;185;105;74;31;0;0;0;"no";"2015-06-09 20:27:22";"2015-06-09 21:39:36"
"113";248088365;3;"2015-04-23";291182;77;1307;98;49;863;642;59;127;33;0;58;76;31;0;0;2;30;4260;8601;43365;190;46;43;28;0;0;0;"no";"2015-06-09 20:27:22";"2015-06-09 21:39:39"
"114";248088367;3;"2015-04-24";291251;69;1169;265;109;1109;888;213;118;28;6;212;69;28;4;0;8;27;3098;6637;48229;192;202;50;31;0;0;0;"no";"2015-06-09 20:27:22";"2015-06-09 21:31:03"
"115";248088369;3;"2015-04-25";291281;30;1239;36;18;228;178;16;25;12;0;14;15;11;0;0;1;10;6766;18657;74164;1408;14;14;11;0;0;0;"no";"2015-06-09 20:27:22";"2015-06-09 21:31:04"
"116";248088371;3;"2015-04-26";291286;5;1239;14;5;160;95;4;28;4;1;3;12;4;1;0;0;5;17325;15932;23829;5678;3;7;5;0;0;0;"no";"2015-06-09 20:27:22";"2015-06-09 21:31:05"
"117";248088373;3;"2015-04-27";291295;9;1183;206;92;838;686;182;86;22;2;182;51;22;1;0;7;23;1658;10352;44731;333;162;35;23;0;0;0;"no";"2015-06-09 20:27:22";"2015-06-09 21:39:35"
"118";248088375;3;"2015-04-28";291317;22;1154;51;17;364;262;24;48;17;1;22;25;16;1;0;0;15;4688;11410;39839;319;22;17;17;0;0;0;"no";"2015-06-09 20:27:22";"2015-06-09 21:39:35"
"119";248088377;3;"2015-04-29";291381;64;1104;81;38;608;427;40;79;27;3;39;40;27;1;0;0;24;2650;6082;40110;221;36;32;28;0;0;0;"no";"2015-06-09 20:27:22";"2015-06-09 21:39:38"
"120";248088379;3;"2015-04-30";291432;51;1093;54;30;629;422;13;107;22;1;10;58;21;1;0;0;21;1737;4288;40171;122;9;35;20;0;0;0;"no";"2015-06-09 20:27:22";"2015-06-09 21:39:38"
"121";248088381;3;"2015-05-01";291491;59;991;71;29;349;229;57;54;5;3;53;28;5;2;0;0;6;860;4382;21255;292;48;20;7;0;0;0;"no";"2015-06-09 20:27:22";"2015-06-09 21:39:36"
"122";248088383;3;"2015-05-02";291500;9;991;20;15;100;72;12;10;6;0;12;3;6;0;0;0;6;15055;22179;51736;10188;12;3;6;0;0;0;"no";"2015-06-09 20:27:22";"2015-06-09 21:39:36"
"123";248088385;3;"2015-05-03";291491;-9;924;8;5;76;51;4;9;3;1;3;3;3;1;0;0;4;14763;16953;36688;1598;3;2;4;0;0;0;"no";"2015-06-09 20:27:22";"2015-06-09 21:39:38"
